"user (S)","id (S)","name (S)","played_at (S)","songId (S)"
"1231014939","0bd3502e-f91d-4f29-a0da-30a12fb4762f","All That You Have Is Your Soul - Tracy Chapman","2021-02-06T00:28:42.920Z","3xTfj6XVCTRpdPTpCX346N"
"1231014939","0c122a7f-15e5-45c6-8123-f85999cbaa53","Echoes - Beatenberg","2021-02-16T07:04:28.445Z","5afIIujQZhQJ87ZY8KGE2x"
"1231014939","0c2c22f5-e506-4dc1-8236-627bd571a21d","I Did It All - Tracy Chapman","2021-01-30T23:01:04.830Z","54Q9fI0Xj3VML32oq7fLTz"
"1231014939","0c93f424-df15-4536-a217-cff82d70a082","Earth - Beaumont","2021-02-14T04:52:23.196Z","2APhx63Q8xpqlQ1lkomqTO"
"1231014939","0ce27819-005b-44eb-8010-bc1ea5061a33","Home to Me - Ross Ellis","2021-02-26T04:50:33.256Z","6fAyo5WuejsFRxRAMPivaq"
"1231014939","0d0426ac-c8ca-4c72-a308-eb29aa7eb78e","No One Has To Know - GoldFish","2021-02-03T05:20:20.216Z","1CPFvrIAwPNlLZHgfVOqye"
"1231014939","0d0654b4-c3af-495e-94a0-ae6c7d35a85e","Autumn Town Leaves - Iron & Wine","2021-01-24T09:46:13.637Z","6HbxpoChDH9ThadFOSAnma"
"1231014939","0d933402-fb7a-446d-94aa-2157ebbf0012","Cashmere - Karavelo","2021-02-14T04:48:27.010Z","1vWaSsuHYVTiIYGA2SNWrZ"
"1231014939","0de44b6f-f491-4960-a748-27ba6213c9a6","Milavain (African Skies) [with TRESOR & Sam Feldt] - JeeCee, TRESOR, Sam Feldt","2021-01-24T07:45:43.897Z","1SM7OdReW4PaQk8TFX7bt1"
"1231014939","0f5ce333-5d93-4266-8fc2-2fdfb39b04e2","In My Arms - Flyboy Chillmix - Ferreck Dawn, Robosonic, Nikki Ambers","2021-01-22T07:59:28.825Z","6s8OQeEXC44AdZcGIpaV5n"
"1231014939","0fb01671-f582-4d0c-9afd-53f801f6c2b9","Been a While - Ashworth","2021-02-08T05:23:39.521Z","2fGuSuYP5K15BCXtrcJJ3A"
"1231014939","10344f48-b02e-46e0-a1be-67019055fca4","Volcano - Damien Rice","2021-02-22T09:05:24.637Z","0ksC7In0ixceusxlDtQHLO"
"1231014939","1049fca7-2e4a-499f-8bb8-13cb46fabb94","All for You - Rainer + Grimm","2021-01-25T02:39:35.507Z","710CuBhmbD8NuK2eZchxUh"
"1231014939","106d777e-a431-41be-acdf-be0d3d474580","The Road Ahead Is Golden - Jon and Roy","2021-02-26T05:35:03.285Z","50YDlfAIeIC0d4dWjHswkV"
"1231014939","10dc090c-22e4-4dd9-bae0-e0e4029d7b3b","Akhnaten: Act II, Scene 3: Dance - Philip Glass, Dennis Russell Davies","2021-02-09T01:31:04.125Z","3FlJC8dYQIEeDYwLiIhqoR"
"1231014939","10f84b57-8a35-4151-904d-e06d39ca536a","Etude 5 - Philip Glass, Anton Batagov","2021-02-09T01:12:28.547Z","48JmlZDpp4YT5CiBsgE6w4"
"1231014939","11300d7d-b814-42df-99ea-3e274de615d6","Never Gonna Forget (with Diplo feat. Elderbrook) - Black Coffee","2021-03-05T10:21:44.542Z","0JqY1VDNn7p92rsvUGs6m1"
"1231014939","1179c2f4-018e-4516-a3b9-e172e6ecf348","Kentucky Always Wins - Sam Riggs","2021-02-26T04:44:17.500Z","4lFg73IKskM5WsBgUZMDQA"
"1231014939","11a0ad1c-c9b1-4320-83d9-de8bb18d0a4d","Opening - Bruce Brubaker","2021-02-10T01:24:52.019Z","1QmhkjuUlosROqKk59sBSK"
"1231014939","124cbc85-9862-4162-abcf-0c48c9f112e0","Angelina - Black Coffee","2021-02-17T10:38:06.675Z","3MNzsampqsFhB87Mr0DuLI"
"1231014939","127d6c20-4e7d-446d-a033-1ae95dd66c23","Stand by Me - Live at the Late Show with David Letterman - Tracy Chapman","2021-02-05T23:15:57.939Z","2gs8HVC6KXOQe76XggzZH5"
"1231014939","1300d670-6778-4ac2-83f3-7379c1ceeb19","Waiting Here - Jake Isaac","2021-01-24T06:24:30.647Z","17v2VWT9tQIkF3sFqRvtNL"
"1231014939","133973f0-418d-4faf-9da8-28fb861d013c","Coda - Extended Mix - Funkin Matt","2021-01-26T08:43:13.542Z","5sHRovSso2w9eTFqsA62ei"
"1231014939","136b7243-6e10-4250-b513-297d1e451eb2","Hold Tight - GoldFish","2021-01-30T03:56:19.274Z","0eOmeyp6CdYKkKQZg5lX98"
"1231014939","13a7c8fa-6e0f-4793-94c7-e9065044db74","Aurora - Vocal Edit - David Scott","2021-02-16T06:00:00.805Z","5iTSQtonLLwosVsveTmBtG"
"1231014939","13d461da-59f7-4ed1-ae37-188e52fd956a","By the Evening - Benjamin Booker","2021-02-13T09:12:31.722Z","5DGvqzS4lunfqphbqNU1FM"
"1231014939","1438dde8-246a-41b2-964c-58fa963b88bb","Soloko - Bongeziwe Mabandla X David Scott - Bongeziwe Mabandla, David Scott","2021-02-06T10:55:25.631Z","1AGxStPFKNVu0KcTKuWsiN"
"1231014939","144866c3-f274-4901-bd4c-c737dc4f7f9f","Solo - GRiZ","2021-02-09T01:57:16.295Z","7z9RF37v4sJow7fO6rCCf2"
"1231014939","1455bcfc-3b12-4308-9028-44c072f9f2c4","When I See This Bar (with Eric Church) - Live - Kenny Chesney","2021-02-08T22:46:55.073Z","5LYPcvkDV0euORWfaRzFoJ"
"1231014939","147eccb2-ad88-4698-b670-25d2f22d13e3","Why? - Tracy Chapman","2021-03-05T22:32:12.824Z","0M8Xggmk34Ntg1wY5wd5A3"
"1231014939","1491bc2b-5f8b-4413-b9a3-9b032c3fd411","Bad Boy for Life - Diddy","2021-01-26T21:37:09.130Z","2eOuL8KesslTLQERQPu11D"
"1231014939","149a9962-fe99-45ec-8028-f92037ff527a","Talkin' Bout a Revolution - Tracy Chapman","2021-01-29T21:27:57.589Z","0YMFcrMtBowDdD5bPz0cgy"
"1231014939","15000c7f-eece-4a47-9840-8bc392f02dbe","Who Knows - Zac Brown Band","2021-03-03T21:53:39.787Z","22CP126Lk8HEfaAylS7zkG"
"1231014939","15ba22af-c646-4d69-8a88-9ec4627659a2","Pluto - Live - Beatenberg","2021-02-16T06:49:21.484Z","59oBTOQ2aidtB5RRbfLdRz"
"1231014939","162d72fb-b748-44e2-ae75-5cb856433c85","Aurora - Vocal Edit - David Scott","2021-02-17T21:35:58.852Z","5iTSQtonLLwosVsveTmBtG"
"1231014939","16560584-ba8b-4b27-92a0-4cb715f16992","Jikeleza (Fka Mash Remix) - Bongeziwe Mabandla, Fka Mash","2021-02-07T06:03:01.389Z","4bdp2P4665r43qFCnCU2Hu"
"1231014939","166376a4-b014-47f9-8b5e-4e94bd72cca5","Burning - Ludovico Einaudi","2021-02-16T21:49:19.031Z","4ubcCgAvwqz5apU4aZTVkp"
"1231014939","16ac59b5-fd42-40a5-bb04-cbd96fab6734","Magic In The Hamptons (feat. Lil Yachty) - Social House","2021-01-30T10:24:37.187Z","2Yer0p7uB2lVBUAtANuuQp"
"1231014939","16d21125-3dd4-4b31-bc0e-fd25aa8b6035","Nothing Much to Do - Muscadine Bloodline","2021-01-31T21:54:21.926Z","0GhVQKTlRrzRbIm4jw10vE"
